"","match","mean_home_odd","mean_draw_odd","mean_away_odd","max_home_odd","max_draw_odd","max_away_odd","result","date","p1mean","p2mean","pxmean","p1max","p2max","pxmax","esito"
"1","Sassuolo-Sampdoria",2.23727272727273,3.44409090909091,3.16318181818182,2.31,3.55,3.32,"4-1","01/09/2019",0.446972775294595,0.316137376059779,0.290352382209318,0.432900432900433,0.301204819277108,0.28169014084507,"1"
"2","Atalanta-Lecce",1.20181818181818,7.03409090909091,12.7195454545455,1.3,7.84,15.25,"3-1","06/10/2019",0.832072617246597,0.0786191616338488,0.1421647819063,0.769230769230769,0.0655737704918033,0.127551020408163,"1"
"3","Fiorentina-Udinese",1.52727272727273,4.11045454545455,6.49136363636364,1.6,4.3,7.8,"1-0","06/10/2019",0.654761904761904,0.154050836776136,0.243282096649342,0.625,0.128205128205128,0.232558139534884,"1"
"4","Parma-Sassuolo",2.77727272727273,3.31318181818182,2.54636363636364,2.91,3.48,2.64,"1-0","25/09/2019",0.360065466448445,0.392716886826133,0.301824667306901,0.343642611683849,0.378787878787879,0.28735632183908,"1"
"5","Fiorentina-Juventus",4.53,3.57227272727273,1.81454545454545,4.8,3.7,1.88,"0-0","14/09/2019",0.22075055187638,0.551102204408819,0.279933833821097,0.208333333333333,0.531914893617021,0.27027027027027,"X"
"6","Udinese-Parma",1.92545454545455,3.45818181818182,4.10136363636364,2,3.6,4.52,"1-3","01/09/2019",0.519357884796977,0.243821345450515,0.289169295478444,0.5,0.221238938053097,0.277777777777778,"2"
"7","Sampdoria-AS Roma",3.53772727272727,3.42545454545455,2.08863636363636,3.94,3.56,2.16,"0-0","20/10/2019",0.282667351920853,0.478781284004353,0.291932059447983,0.253807106598985,0.462962962962963,0.280898876404494,"X"
"8","AC Milan-Lecce",1.40772727272727,4.76818181818182,7.44772727272727,1.5,5.12,8.5,"2-2","20/10/2019",0.710364869228287,0.134269148611535,0.209723546234509,0.666666666666667,0.117647058823529,0.1953125,"X"
"9","Napoli-Atalanta",2.17636363636364,3.61772727272727,3.15181818181818,2.26,3.75,3.25,"2-2","30/10/2019",0.459482038429406,0.317277184886069,0.276416635255686,0.442477876106195,0.307692307692308,0.266666666666667,"X"
"10","Napoli-Cagliari",1.17136363636364,7.62409090909091,14.6213636363636,1.2,8.5,18.1,"0-1","25/09/2019",0.853705859526579,0.0683930736469054,0.1311631789185,0.833333333333333,0.0552486187845304,0.117647058823529,"2"
"11","Inter-Parma",1.28863636363636,5.56863636363636,10.3036363636364,1.32,5.9,11.5,"2-2","26/10/2019",0.776014109347445,0.0970531145226748,0.179577177373276,0.757575757575758,0.0869565217391304,0.169491525423729,"X"
"12","Lazio-Torino",1.52409090909091,4.27272727272727,6.11454545454545,1.6,4.5,7,"4-0","30/10/2019",0.656128839844915,0.16354445435623,0.23404255319149,0.625,0.142857142857143,0.222222222222222,"1"
"13","Cagliari-Genoa",2.97545454545455,3.26636363636364,2.42909090909091,3.2,3.46,2.55,"3-1","20/09/2019",0.336083104185762,0.411676646706587,0.306150848872808,0.3125,0.392156862745098,0.289017341040462,"1"
"14","Juventus-Verona",1.21181818181818,6.36954545454545,14.4172727272727,1.25,6.8,17,"2-1","21/09/2019",0.825206301575395,0.0693612459802006,0.156997074145437,0.8,0.0588235294117647,0.147058823529412,"1"
"15","Sampdoria-Inter",5.02,3.73363636363636,1.70636363636364,5.5,3.85,1.75,"1-3","28/09/2019",0.199203187250996,0.586041555673947,0.267835402970538,0.181818181818182,0.571428571428571,0.25974025974026,"2"
"16","Brescia-Fiorentina",4.53909090909091,3.87954545454545,1.74181818181818,4.94,4.08,1.8,"0-0","21/10/2019",0.220308431804526,0.574112734864301,0.25776215582894,0.202429149797571,0.555555555555556,0.245098039215686,"X"
