match;date;result;Home_team;Away_team
Empoli-Cagliari;25/10/2014;0-4;Empoli;Cagliari
Torino-Fiorentina;28/09/2014;01-gen;Torino;Fiorentina
AS Roma-Sampdoria;16/03/2015;0-2;AS Roma;Sampdoria
Udinese-Chievo;23/11/2014;01-gen;Udinese;Chievo
Genoa-Lazio;21/09/2014;1-0;Genoa;Lazio
Atalanta-AC Milan;30/05/2015;01-mar;Atalanta;AC Milan
Parma-Torino;22/03/2015;0-2;Parma;Torino
Sampdoria-Sassuolo;08/02/2015;01-gen;Sampdoria;Sassuolo
Torino-Sassuolo;23/11/2014;0-1;Torino;Sassuolo
Napoli-Torino;05/10/2014;02-gen;Napoli;Torino
Udinese-Lazio;15/02/2015;0-1;Udinese;Lazio
Verona-Torino;07/02/2015;01-mar;Verona;Torino
Torino-Palermo;06/12/2014;02-feb;Torino;Palermo
Juventus-Verona;18/01/2015;4-0;Juventus;Verona
Udinese-Sassuolo;24/05/2015;0-1;Udinese;Sassuolo
Chievo-Cagliari;29/04/2015;1-0;Chievo;Cagliari
Parma-Chievo;11/02/2015;0-1;Parma;Chievo
Sassuolo-AC Milan;17/05/2015;03-feb;Sassuolo;AC Milan
Atalanta-Verona;31/08/2014;0-0;Atalanta;Verona
AS Roma-Chievo;18/10/2014;3-0;AS Roma;Chievo
Chievo-Juventus;30/08/2014;0-1;Chievo;Juventus
Fiorentina-Sassuolo;24/09/2014;0-0;Fiorentina;Sassuolo
Chievo-Cesena;09/11/2014;02-gen;Chievo;Cesena
Napoli-Inter;08/03/2015;02-feb;Napoli;Inter
Udinese-Cagliari;18/01/2015;02-feb;Udinese;Cagliari
Torino-Chievo;17/05/2015;2-0;Torino;Chievo
Sassuolo-Inter;01/02/2015;03-gen;Sassuolo;Inter
Lazio-Chievo;26/04/2015;01-gen;Lazio;Chievo
Palermo-Chievo;29/10/2014;1-0;Palermo;Chievo
Sassuolo-AS Roma;29/04/2015;0-3;Sassuolo;AS Roma
Verona-Empoli;17/05/2015;02-gen;Verona;Empoli
