match;date;result;match;
AS Roma-Parma;26/05/2019;02-gen;AS Roma;Parma
Atalanta-Sassuolo;26/05/2019;03-gen;Atalanta;Sassuolo
Cagliari-Udinese;26/05/2019;01-feb;Cagliari;Udinese
Fiorentina-Genoa;26/05/2019;0-0;Fiorentina;Genoa
Inter-Empoli;26/05/2019;02-gen;Inter;Empoli
Sampdoria-Juventus;26/05/2019;2-0;Sampdoria;Juventus
Spal-AC Milan;26/05/2019;02-mar;Spal;AC Milan
Torino-Lazio;26/05/2019;03-gen;Torino;Lazio
Bologna-Napoli;25/05/2019;03-feb;Bologna;Napoli
Frosinone-Chievo;25/05/2019;0-0;Frosinone;Chievo
Lazio-Bologna;20/05/2019;03-mar;Lazio;Bologna
AC Milan-Frosinone;19/05/2019;2-0;AC Milan;Frosinone
Chievo-Sampdoria;19/05/2019;0-0;Chievo;Sampdoria
Empoli-Torino;19/05/2019;04-gen;Empoli;Torino
Juventus-Atalanta;19/05/2019;01-gen;Juventus;Atalanta
Napoli-Inter;19/05/2019;04-gen;Napoli;Inter
Parma-Fiorentina;19/05/2019;1-0;Parma;Fiorentina
Genoa-Cagliari;18/05/2019;01-gen;Genoa;Cagliari
Sassuolo-AS Roma;18/05/2019;0-0;Sassuolo;AS Roma
Udinese-Spal;18/05/2019;03-feb;Udinese;Spal
Bologna-Parma;13/05/2019;04-gen;Bologna;Parma
Inter-Chievo;13/05/2019;2-0;Inter;Chievo
AS Roma-Juventus;12/05/2019;2-0;AS Roma;Juventus
Frosinone-Udinese;12/05/2019;01-mar;Frosinone;Udinese
Sampdoria-Empoli;12/05/2019;01-feb;Sampdoria;Empoli
Spal-Napoli;12/05/2019;01-feb;Spal;Napoli
Torino-Sassuolo;12/05/2019;03-feb;Torino;Sassuolo
Atalanta-Genoa;11/05/2019;02-gen;Atalanta;Genoa
Cagliari-Lazio;11/05/2019;01-feb;Cagliari;Lazio
Fiorentina-AC Milan;11/05/2019;0-1;Fiorentina;AC Milan
AC Milan-Bologna;06/05/2019;02-gen;AC Milan;Bologna
Empoli-Fiorentina;05/05/2019;1-0;Empoli;Fiorentina
Genoa-AS Roma;05/05/2019;01-gen;Genoa;AS Roma
Lazio-Atalanta;05/05/2019;01-mar;Lazio;Atalanta
Napoli-Cagliari;05/05/2019;02-gen;Napoli;Cagliari
Parma-Sampdoria;05/05/2019;03-mar;Parma;Sampdoria
Sassuolo-Frosinone;05/05/2019;02-feb;Sassuolo;Frosinone
Chievo-Spal;04/05/2019;0-4;Chievo;Spal
Udinese-Inter;04/05/2019;0-0;Udinese;Inter
Juventus-Torino;03/05/2019;01-gen;Juventus;Torino
Atalanta-Udinese;29/04/2019;2-0;Atalanta;Udinese
Fiorentina-Sassuolo;29/04/2019;0-1;Fiorentina;Sassuolo
Chievo-Parma;28/04/2019;01-gen;Chievo;Parma
Frosinone-Napoli;28/04/2019;0-2;Frosinone;Napoli
Sampdoria-Lazio;28/04/2019;01-feb;Sampdoria;Lazio
Spal-Genoa;28/04/2019;01-gen;Spal;Genoa
Torino-AC Milan;28/04/2019;2-0;Torino;AC Milan
AS Roma-Cagliari;27/04/2019;3-0;AS Roma;Cagliari
Bologna-Empoli;27/04/2019;03-gen;Bologna;Empoli
Inter-Juventus;27/04/2019;01-gen;Inter;Juventus
Napoli-Atalanta;22/04/2019;01-feb;Napoli;Atalanta
Bologna-Sampdoria;20/04/2019;3-0;Bologna;Sampdoria
Cagliari-Frosinone;20/04/2019;1-0;Cagliari;Frosinone
Empoli-Spal;20/04/2019;02-apr;Empoli;Spal
Genoa-Torino;20/04/2019;0-1;Genoa;Torino
