Data;H_team;H_Elo_pre;H_Diff;H_Elo_post;Risultato;H_gol;A_gol;Esito;1_prob_elo;X_prob_elo;2_prob_elo;A_team;A_Elo_pre;A_Diff;A_Elo_post
19/10/2019;Juventus;2197;2;2199;2 - 1;2;1;1;80;14;6;Bologna FC;1861;-2;1859
19/10/2019;Lazio Roma;1983;-1;1982;3 - 3;3;3;X;38;29;33;Atalanta;2056;1;2057
19/10/2019;SSC Napoli;2110;1;2111;2 - 0;2;0;1;84;12;4;Hellas Verona;1696;-1;1695
06/10/2019;Inter;2076;-10;2066;1 - 2;1;2;2;34;29;36;Juventus;2187;10;2197
06/10/2019;Torino FC;1963;1;1964;0 - 0;0;0;X;31;29;40;SSC Napoli;2111;-1;2110
06/10/2019;AS Roma;2039;-7;2032;1 - 1;1;1;X;70;18;12;Cagliari Calcio;1830;7;1837
06/10/2019;Bologna FC;1860;1;1861;2 - 2;2;2;X;33;29;38;Lazio Roma;1984;-1;1983
06/10/2019;Atalanta;2053;3;2056;3 - 1;3;1;1;76;16;9;US Lecce;1776;-3;1773
06/10/2019;ACF Fiorentina;1919;5;1924;1 - 0;1;0;1;58;24;18;Udinese Calcio;1821;-5;1816
05/10/2019;Genoa CFC;1801;-8;1793;1 - 2;1;2;2;29;29;43;AC Milan;1968;8;1976
05/10/2019;SPAL 2013 Ferrara;1785;7;1792;1 - 0;1;0;1;46;28;26;Parma Calcio 1913;1785;-7;1778
05/10/2019;Hellas Verona;1678;18;1696;2 - 0;2;0;1;28;28;44;Sampdoria;1854;-18;1836
30/09/2019;Parma Calcio 1913;1772;13;1785;3 - 2;3;2;1;26;27;47;Torino FC;1976;-13;1963
29/09/2019;AC Milan;1991;-23;1968;1 - 3;1;3;2;57;24;19;ACF Fiorentina;1896;23;1919
29/09/2019;SSC Napoli;2116;1;2117;2 - 1;2;1;1;82;13;5;Brescia Calcio;1741;-1;1740
29/09/2019;US Lecce;1782;-6;1776;0 - 1;0;1;2;21;25;53;AS Roma;2040;6;2046
29/09/2019;Lazio Roma;1969;7;1976;4 - 0;4;0;1;65;21;14;Genoa CFC;1808;-7;1801
29/09/2019;Udinese Calcio;1812;9;1821;1 - 0;1;0;1;40;29;31;Bologna FC;1869;-9;1860
29/09/2019;Cagliari Calcio;1836;-6;1830;1 - 1;1;1;X;65;21;14;Hellas Verona;1672;6;1678
28/09/2019;Juventus;2175;2;2177;2 - 0;2;0;1;83;12;5;SPAL 2013 Ferrara;1787;-2;1785
28/09/2019;Sampdoria;1865;-11;1854;1 - 3;1;3;2;26;27;47;Inter;2070;11;2081
28/09/2019;Sassuolo Calcio;1850;-12;1838;1 - 4;1;4;2;25;27;48;Atalanta;2061;12;2073
26/09/2019;Torino FC;1968;8;1976;2 - 1;2;1;1;43;29;29;AC Milan;1999;-8;1991
25/09/2019;AS Roma;2060;-20;2040;0 - 2;0;2;2;48;27;24;Atalanta;2041;20;2061
25/09/2019;Inter;2065;5;2070;1 - 0;1;0;1;57;24;19;Lazio Roma;1974;-5;1969
