web-scraper-order;web-scraper-start-url;match;match-href;Bookmakers: 20;Bookmakers: 20;Home;Draw;Away;Home_team;Away_team
1572705986-43887;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Torino-Cesena;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/torino-cesena/AqH6W5zB/;;;1.38;4.75;7.25;Torino;Cesena
1572704894-36784;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Empoli-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/empoli-ac-milan/Gfe30tuN/;null;null;4.20;3.40;1.85;Empoli;AC Milan
1572705541-41096;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Chievo-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/chievo-ac-milan/0SxdPdmt/;;;3.20;3.10;2.35;Chievo;AC Milan
1572705995-43961;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Napoli-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/napoli-lazio/OtfTm75o/;;;1.92;3.60;3.95;Napoli;Lazio
1572705673-41921;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Verona-Cesena;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/verona-cesena/U97wQlel/;;;1.84;3.49;4.52;Verona;Cesena
1572705170-38630;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Sassuolo-Verona;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/sassuolo-verona/KM83UZBg/;null;null;2.09;3.50;3.60;Sassuolo;Verona
1572705495-40801;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Chievo-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/chievo-sampdoria/M7AedbJg/;;;2.50;3.00;3.20;Chievo;Sampdoria
1572705351-39869;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;AS Roma-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/as-roma-lazio/A5SeExvn/;null;null;2.12;3.17;3.47;AS Roma;Lazio
1572705067-37926;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Cagliari-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/cagliari-ac-milan/IJDKrWVA/;null;null;3.39;3.31;2.11;Cagliari;AC Milan
1572704944-37111;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Chievo-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/chievo-empoli/8hdD8wXq/;null;null;2.50;3.00;3.00;Chievo;Empoli
1572705185-38749;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Cesena-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/cesena-genoa/fLYUFzc0/;null;null;3.50;3.10;2.24;Cesena;Genoa
1572705508-40896;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;AC Milan-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/ac-milan-empoli/tlkMsa40/;;;1.92;3.40;4.30;AC Milan;Empoli
1572705857-43071;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Napoli-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/napoli-ac-milan/8fyUUXs9/;;;1.42;4.65;8.05;Napoli;AC Milan
1572705094-38106;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Sampdoria-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/sampdoria-fiorentina/CtaTBUac/;null;null;3.55;3.13;2.23;Sampdoria;Fiorentina
1572705814-42796;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Udinese-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/udinese-inter/vFNsJzqc/;;;3.60;3.25;2.10;Udinese;Inter
1572705308-39572;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Genoa-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/genoa-atalanta/YTW5eOX6/;null;null;2.11;3.25;3.75;Genoa;Atalanta
1572705429-40394;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Palermo-Verona;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/palermo-verona/vqF4T8qj/;null;null;1.80;3.50;4.50;Palermo;Verona
1572705194-38799;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;AC Milan-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/ac-milan-udinese/SOTOyIJJ/;null;null;1.60;3.75;5.65;AC Milan;Udinese
1572705085-38049;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Empoli-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/empoli-juventus/MBW6fTUM/;null;null;7.50;4.50;1.40;Empoli;Juventus
