start;url;match;href;Bookmakers: 21;Bookie;Home;Draw;Away;Home_team;Away_team
1572704528-36128;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Empoli-Torino;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/empoli-torino/bFpRibLT/;;;2.70;3.50;2.63;Empoli;Torino
1572704476-35780;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Torino-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/torino-napoli/KMQKpP7n/;;;7.40;4.60;1.43;Torino;Napoli
1572703668-30255;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Napoli-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/napoli-udinese/Whjs89Ct/;;;1.25;5.50;13.00;Napoli;Udinese
1572703653-30137;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;AC Milan-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/ac-milan-atalanta/SKNKj8s6/;;;1.67;3.60;5.00;AC Milan;Atalanta
1572703537-29359;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Genoa-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/genoa-chievo/GOhpD1gp/;;;2.10;3.35;3.70;Genoa;Chievo
1572703728-30646;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Frosinone-Verona;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/frosinone-verona/nqJSJ6Bh/;;;2.40;3.20;2.85;Frosinone;Verona
1572703755-30819;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Inter-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/inter-genoa/YJHe9Dg2/;null;null;1.62;3.80;5.50;Inter;Genoa
1572703702-30470;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Genoa-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/genoa-sassuolo/46lk6msg/;;;2.10;3.30;3.30;Genoa;Sassuolo
1572704026-32614;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Lazio-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/lazio-napoli/Q5bhPs6L/;;;3.75;3.40;2.22;Lazio;Napoli
1572704135-33320;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Frosinone-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/frosinone-lazio/pCY3yoeo/;;;6.79;4.32;1.45;Frosinone;Lazio
