start;url;match;href;Bookmakers: 22;Bookmakers: 22;Home;Draw;Away;Home_team;Away_team
1572701022-21518;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Torino-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/torino-cagliari/xj5QGx45/;null;null;1.54;4.20;6.10;Torino;Cagliari
1572701932-27395;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Empoli-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/empoli-atalanta/bkF3tW1t/;;;2.80;3.20;2.50;Empoli;Atalanta
1572701083-21934;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Atalanta-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/atalanta-as-roma/pGU3UeY4/;;;3.50;3.75;2.05;Atalanta;AS Roma
1572701198-22689;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Juventus-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/juventus-as-roma/IaV2lWsR/;;;1.75;3.50;5.00;Juventus;AS Roma
1572701793-26490;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AC Milan-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/ac-milan-empoli/WOlHKfOM/;;;1.40;5.00;7.80;AC Milan;Empoli
1572700636-19008;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Juventus-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/juventus-fiorentina/AuBVBABn/;;;1.50;3.90;8.00;Juventus;Fiorentina
1572701029-21565;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sassuolo-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sassuolo-atalanta/WC4UFdJB/;null;null;2.50;3.10;2.88;Sassuolo;Atalanta
1572700723-19529;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Chievo-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/chievo-lazio/U1Zf0DP1/;;;3.58;3.30;2.32;Chievo;Lazio
1572700661-19127;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Empoli-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/empoli-sampdoria/bL9b5QfU/;;;2.20;3.20;3.20;Empoli;Sampdoria
1572701855-26893;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Lazio-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/lazio-sampdoria/4EEeDXXg/;;;1.27;6.00;9.75;Lazio;Sampdoria
1572701718-26010;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Cagliari-Torino;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/cagliari-torino/292HxZrF/;;;2.92;3.59;2.23;Cagliari;Torino
1572701772-26361;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Udinese-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/udinese-cagliari/QRo9MGgA/;;;1.75;3.75;5.20;Udinese;Cagliari
1572700743-19673;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sampdoria-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sampdoria-ac-milan/jT3exMf9/;;;3.05;3.20;2.34;Sampdoria;AC Milan
1572701872-27001;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Fiorentina-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/fiorentina-lazio/f378AVHC/;;;1.70;4.00;4.00;Fiorentina;Lazio
