web-scraper-order;web-scraper-start-url;match;match-href;Bookmakers: 22;Bookie;Home;Draw;Away;Home_team;Away_team
1572691444-10491;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Udinese-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/udinese-chievo/lQpbP9dC/;;;2.06;3.45;4.08;Udinese;Chievo
1572691730-12368;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Lazio-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/lazio-cagliari/vXWGPX8o/;;;1.29;6.00;11.00;Lazio;Cagliari
1572691999-14120;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Bologna-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/bologna-juventus/EN8c8od1/;null;null;7.46;4.42;1.41;Bologna;Juventus
1572692421-16761;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;AC Milan-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/ac-milan-chievo/fRinTeiA/;;;1.40;4.40;9.50;AC Milan;Chievo
1572692619-18066;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Genoa-Verona;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/genoa-verona/0lAUb8bh/;;;1.36;4.50;8.00;Genoa;Verona
1572692560-17643;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Verona-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/verona-sassuolo/QVennVEn/;;;4.54;3.72;1.91;Verona;Sassuolo
1572691961-13822;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Napoli-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/napoli-fiorentina/lbGBHkZE/;;;1.43;4.55;7.00;Napoli;Fiorentina
1572691990-14051;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Sampdoria-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/sampdoria-sassuolo/tzldTnYQ/;null;null;1.77;3.76;4.23;Sampdoria;Sassuolo
1572691993-14061;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Fiorentina-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/fiorentina-genoa/fJopWll8/;null;null;1.74;3.65;5.05;Fiorentina;Genoa
1572691489-10787;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Napoli-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/napoli-atalanta/jg7Tvkda/;;;1.33;5.25;9.00;Napoli;Atalanta
1572692176-15269;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Genoa-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/genoa-udinese/8tKIGO6B/;;;2.17;2.95;3.30;Genoa;Udinese
1572691524-11004;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Cagliari-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/cagliari-crotone/rmW6h8Qb/;;;1.59;3.75;6.40;Cagliari;Crotone
1572692297-15976;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;AC Milan-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/ac-milan-sampdoria/p0MxwCJr/;;;1.70;3.70;5.00;AC Milan;Sampdoria
1572692144-15052;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Atalanta-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/atalanta-napoli/UgcNNKds/;;;3.80;3.30;2.15;Atalanta;Napoli
1572692304-16013;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Inter-Benevento;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/inter-benevento/E1kUo72D/;;;1.19;6.00;15.00;Inter;Benevento
1572692046-14405;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Crotone-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/crotone-napoli/E3CJWLvJ/;;;17.00;7.00;1.20;Crotone;Napoli
1572691658-11877;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Napoli-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/napoli-cagliari/SYrZ4cXI/;;;1.11;9.50;21.25;Napoli;Cagliari
1572691833-13090;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Atalanta-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/atalanta-spal/pWtWa5jF/;null;null;1.25;4.75;9.50;Atalanta;Spal
1572692433-16820;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Juventus-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/juventus-ac-milan/rin5ZWDq/;;;1.57;3.30;6.00;Juventus;AC Milan
1572691753-12521;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Juventus-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/juventus-spal/8Q36zkN3/;null;null;1.12;10.00;15.00;Juventus;Spal
1572692118-14884;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Udinese-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/udinese-spal/8IyWPSqP/;;;1.79;3.50;4.50;Udinese;Spal
1572692728-18806;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Udinese-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/udinese-bologna/ANVbRlvD/;;;1.44;4.00;6.50;Udinese;Bologna
1572691500-10852;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Chievo-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/chievo-lazio/djl6NmRO/;;;3.80;3.50;1.97;Chievo;Lazio
1572691606-11541;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;AC Milan-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/ac-milan-spal/QR58dEN1/;;;1.22;6.75;12.50;AC Milan;Spal
1572691747-12478;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Inter-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/inter-sampdoria/lpybQ4ad/;null;null;1.40;4.72;6.86;Inter;Sampdoria
1572691990-14046;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Sampdoria-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/sampdoria-sassuolo/tzldTnYQ/;null;null;2.00;3.70;3.96;Sampdoria;Sassuolo
1572692077-14624;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;AS Roma-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/as-roma-sassuolo/nisYkqus/;;;1.29;5.50;10.00;AS Roma;Sassuolo
1572692658-18317;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Juventus-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/juventus-bologna/nuPoOOR3/;;;1.11;9.60;20.00;Juventus;Bologna
1572691881-13334;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Cagliari-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/cagliari-inter/f35x3V2O/;null;null;5.10;3.80;1.70;Cagliari;Inter
1572691695-12146;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Fiorentina-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/fiorentina-udinese/SCosDfPu/;;;1.57;4.00;5.50;Fiorentina;Udinese
1572692752-18966;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Cagliari-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/cagliari-atalanta/MwBLDV9D/;;;2.90;3.60;2.30;Cagliari;Atalanta
1572691658-11880;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Napoli-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/napoli-cagliari/SYrZ4cXI/;;;1.14;11.00;23.00;Napoli;Cagliari
1572691923-13603;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Fiorentina-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/fiorentina-sassuolo/UwVpBSfo/;null;null;1.57;4.20;5.75;Fiorentina;Sassuolo
1572691812-12926;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Bologna-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/bologna-crotone/j9sS0oy9/;null;null;1.75;3.40;6.00;Bologna;Crotone
1572691664-11926;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Chievo-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/chievo-fiorentina/nJmE9LIm/;;;3.02;3.44;2.56;Chievo;Fiorentina
1572692694-18563;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Benevento-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/benevento-genoa/SbpLxOtc/;;;2.30;3.76;3.13;Benevento;Genoa
1572692321-16118;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Sampdoria-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/sampdoria-udinese/OWWK8U9Q/;;;2.04;3.40;3.75;Sampdoria;Udinese
1572691585-11396;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Lazio-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/lazio-napoli/dh14cf8e/;;;3.25;3.65;2.19;Lazio;Napoli
1572691767-12631;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Bologna-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/bologna-lazio/MT7AZ8xA/;null;null;4.75;3.75;1.75;Bologna;Lazio
1572691950-13762;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Udinese-Benevento;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/udinese-benevento/bX5oBmCr/;;;1.48;4.55;6.75;Udinese;Benevento
1572692685-18508;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Chievo-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/chievo-crotone/Sx9pQpci/;;;2.28;3.12;3.75;Chievo;Crotone
1572692260-15753;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Chievo-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/chievo-genoa/QwSJqNzb/;;;3.09;3.04;2.60;Chievo;Genoa
1572692721-18757;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;AS Roma-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/as-roma-juventus/nLI8GXPf/;;;2.80;3.00;2.80;AS Roma;Juventus
1572692317-16078;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Sassuolo-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/sassuolo-lazio/pzwn4lIs/;;;4.20;3.65;1.90;Sassuolo;Lazio
1572692547-17557;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Fiorentina-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/fiorentina-spal/fTpikbVQ/;;;1.50;4.35;6.75;Fiorentina;Spal
1572691787-12753;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Torino-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/torino-cagliari/z1auwrq2/;null;null;1.52;4.10;5.25;Torino;Cagliari
1572692418-16734;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Benevento-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/benevento-cagliari/M7Ua7EUj/;;;2.20;3.25;3.35;Benevento;Cagliari
1572691831-13058;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Cagliari-Verona;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/cagliari-verona/IcSCwFZC/;null;null;1.80;3.70;4.80;Cagliari;Verona
1572691458-10575;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Inter-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/inter-fiorentina/ddDoUXss/;;;1.49;4.55;6.55;Inter;Fiorentina
1572691511-10916;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Verona-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/verona-fiorentina/jDVAiSu5/;;;3.64;3.42;1.99;Verona;Fiorentina
1572691741-12437;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Atalanta-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/atalanta-bologna/4vItKTxN/;;;1.58;4.00;6.15;Atalanta;Bologna
1572691920-13593;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Inter-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/inter-chievo/WbNJJKbo/;null;null;1.44;4.80;7.00;Inter;Chievo
1572692598-17902;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;AC Milan-Benevento;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/ac-milan-benevento/C6Mud6rB/;null;null;1.21;6.90;13.50;AC Milan;Benevento
1572692644-18234;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Crotone-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/crotone-sassuolo/EZrBBorb/;;;2.28;3.20;3.30;Crotone;Sassuolo
1572691468-10651;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Atalanta-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/atalanta-as-roma/pIqTBjSC/;;;2.88;3.40;2.40;Atalanta;AS Roma
1572691627-11676;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Sampdoria-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/sampdoria-ac-milan/6oDueM3f/;;;3.70;3.60;2.00;Sampdoria;AC Milan
1572691534-11089;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Atalanta-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/atalanta-sassuolo/8UwfeAtt/;;;1.63;4.00;6.43;Atalanta;Sassuolo
1572691677-12031;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Juventus-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/juventus-lazio/4It67jgH/;;;1.62;3.60;6.00;Juventus;Lazio
1572691560-11235;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Napoli-Benevento;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/napoli-benevento/QmZcjw1S/;;;1.10;11.00;26.00;Napoli;Benevento
1572692470-17084;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Torino-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/torino-crotone/nTABT4og/;;;1.55;4.00;6.40;Torino;Crotone
1572692418-16723;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Benevento-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/benevento-cagliari/M7Ua7EUj/;;;2.30;3.38;3.54;Benevento;Cagliari
1572692087-14676;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Torino-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/torino-bologna/8rqTnYUG/;;;2.06;3.56;4.06;Torino;Bologna
1572692688-18529;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Cagliari-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/cagliari-as-roma/EZK211Kj/;null;null;7.20;4.40;1.45;Cagliari;AS Roma
1572692505-17317;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Torino-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/torino-inter/AuBmVxve/;;;4.14;3.61;1.92;Torino;Inter
1572691448-10516;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Sassuolo-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/sassuolo-genoa/AZofQks6/;;;1.88;3.55;4.10;Sassuolo;Genoa
1572692588-17846;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;AS Roma-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/as-roma-genoa/bLmaqTb5/;;;1.33;5.37;11.45;AS Roma;Genoa
1572692176-15268;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Genoa-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/genoa-udinese/8tKIGO6B/;;;2.25;3.10;3.40;Genoa;Udinese
