web-scraper-order;web-scraper-start-url;match;match-href;Bookmakers: 22;Bookie;Home;Draw;Away;date;Home_team;Away_team
1572688638-348;https://www.betexplorer.com/soccer/italy/serie-a/results/;Sassuolo-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a/sassuolo-sampdoria/UNKfcOdm/;;;2.25;3.51;3.32;null;Sassuolo;Sampdoria
1572688826-1497;https://www.betexplorer.com/soccer/italy/serie-a/results/;Atalanta-Lecce;https://www.betexplorer.com/soccer/italy/serie-a/atalanta-lecce/bZhxz4I5/;;;1.18;6.50;9.75;null;Atalanta;Lecce
1572688819-1440;https://www.betexplorer.com/soccer/italy/serie-a/results/;Fiorentina-Udinese;https://www.betexplorer.com/soccer/italy/serie-a/fiorentina-udinese/lOokX12O/;;;1.53;4.18;6.35;null;Fiorentina;Udinese
1572688739-976;https://www.betexplorer.com/soccer/italy/serie-a/results/;Parma-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a/parma-sassuolo/UuKRwhIm/;;;2.80;3.40;2.45;null;Parma;Sassuolo
1572688665-517;https://www.betexplorer.com/soccer/italy/serie-a/results/;Fiorentina-Juventus;https://www.betexplorer.com/soccer/italy/serie-a/fiorentina-juventus/KCD7fMt6/;;;4.30;3.60;1.88;null;Fiorentina;Juventus
1572688635-322;https://www.betexplorer.com/soccer/italy/serie-a/results/;Udinese-Parma;https://www.betexplorer.com/soccer/italy/serie-a/udinese-parma/bcPbdrCg/;;;2.00;3.50;3.80;null;Udinese;Parma
1572688852-1644;https://www.betexplorer.com/soccer/italy/serie-a/results/;Sampdoria-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a/sampdoria-as-roma/Yq7vnVSc/;;;3.60;3.40;2.10;null;Sampdoria;AS Roma
1572688863-1701;https://www.betexplorer.com/soccer/italy/serie-a/results/;AC Milan-Lecce;https://www.betexplorer.com/soccer/italy/serie-a/ac-milan-lecce/x4Ojuafo/;;;1.40;4.75;7.00;null;AC Milan;Lecce
1572688920-2084;https://www.betexplorer.com/soccer/italy/serie-a/results/;Napoli-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a/napoli-atalanta/xtIc0Lm8/;;;2.10;3.75;3.25;null;Napoli;Atalanta
1572688743-994;https://www.betexplorer.com/soccer/italy/serie-a/results/;Napoli-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a/napoli-cagliari/06FNvY2s/;;;1.19;7.60;14.00;null;Napoli;Cagliari
1572688876-1787;https://www.betexplorer.com/soccer/italy/serie-a/results/;Inter-Parma;https://www.betexplorer.com/soccer/italy/serie-a/inter-parma/2N3Fmr42/;;;1.28;5.80;11.00;null;Inter;Parma
1572688923-2102;https://www.betexplorer.com/soccer/italy/serie-a/results/;Lazio-Torino;https://www.betexplorer.com/soccer/italy/serie-a/lazio-torino/O0zBxIe1/;;;1.54;4.50;5.85;null;Lazio;Torino
1572688690-690;https://www.betexplorer.com/soccer/italy/serie-a/results/;Cagliari-Genoa;https://www.betexplorer.com/soccer/italy/serie-a/cagliari-genoa/xOG5Ydt8/;;;3.00;3.40;2.37;null;Cagliari;Genoa
1572688698-743;https://www.betexplorer.com/soccer/italy/serie-a/results/;Juventus-Verona;https://www.betexplorer.com/soccer/italy/serie-a/juventus-verona/GEF9XGeE/;;;1.20;6.50;15.00;null;Juventus;Verona
1572688768-1129;https://www.betexplorer.com/soccer/italy/serie-a/results/;Sampdoria-Inter;https://www.betexplorer.com/soccer/italy/serie-a/sampdoria-inter/Qq1Px6Yn/;;;4.70;3.60;1.75;null;Sampdoria;Inter
1572688866-1721;https://www.betexplorer.com/soccer/italy/serie-a/results/;Brescia-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a/brescia-fiorentina/p6qCns2B/;;;4.70;3.90;1.75;null;Brescia;Fiorentina
1572688754-1060;https://www.betexplorer.com/soccer/italy/serie-a/results/;Fiorentina-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a/fiorentina-sampdoria/jen5MjmD/;;;1.60;4.25;5.50;null;Fiorentina;Sampdoria
1572688712-834;https://www.betexplorer.com/soccer/italy/serie-a/results/;Lecce-Napoli;https://www.betexplorer.com/soccer/italy/serie-a/lecce-napoli/2VDHVfQQ/;;;7.50;4.80;1.40;null;Lecce;Napoli
1572688715-856;https://www.betexplorer.com/soccer/italy/serie-a/results/;Lazio-Parma;https://www.betexplorer.com/soccer/italy/serie-a/lazio-parma/OvFDWzBK/;;;1.29;6.00;9.50;null;Lazio;Parma
1572688780-1221;https://www.betexplorer.com/soccer/italy/serie-a/results/;Lecce-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a/lecce-as-roma/E5X6KOII/;;;4.75;4.20;1.62;null;Lecce;AS Roma
1572688768-1140;https://www.betexplorer.com/soccer/italy/serie-a/results/;Sampdoria-Inter;https://www.betexplorer.com/soccer/italy/serie-a/sampdoria-inter/Qq1Px6Yn/;;;4.90;3.85;1.70;null;Sampdoria;Inter
1572688695-711;https://www.betexplorer.com/soccer/italy/serie-a/results/;Udinese-Brescia;https://www.betexplorer.com/soccer/italy/serie-a/udinese-brescia/fThdOCI0/;;;1.84;3.53;4.13;null;Udinese;Brescia
1572688648-415;https://www.betexplorer.com/soccer/italy/serie-a/results/;Genoa-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a/genoa-fiorentina/vghYuNRC/;;;2.83;3.40;2.54;null;Genoa;Fiorentina
1572688718-879;https://www.betexplorer.com/soccer/italy/serie-a/results/;Bologna-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a/bologna-as-roma/YkjPP4x8/;;;2.62;3.60;2.50;null;Bologna;AS Roma
1572688743-1000;https://www.betexplorer.com/soccer/italy/serie-a/results/;Napoli-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a/napoli-cagliari/06FNvY2s/;;;1.15;7.50;15.00;null;Napoli;Cagliari
1572688709-808;https://www.betexplorer.com/soccer/italy/serie-a/results/;Sampdoria-Torino;https://www.betexplorer.com/soccer/italy/serie-a/sampdoria-torino/MFflQYml/;;;3.00;3.25;2.45;null;Sampdoria;Torino
1572688658-482;https://www.betexplorer.com/soccer/italy/serie-a/results/;Napoli-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a/napoli-sampdoria/tIb2G33P/;;;1.30;5.80;9.00;null;Napoli;Sampdoria
1572688641-355;https://www.betexplorer.com/soccer/italy/serie-a/results/;Lecce-Verona;https://www.betexplorer.com/soccer/italy/serie-a/lecce-verona/pjqO2pZP/;;;2.08;3.45;3.75;null;Lecce;Verona
